OBJECTID,X,Y
3761,439909.154,1469464.048
3762,439906.111,1468918.66
3763,439872.938,1468737.043
3764,440582.651,1469133.054
3765,440774.994,1469022.904
3766,440743.846,1469204.879
3767,439898.606,1467573.37
3768,440124.128,1467644.833
3769,445455.342,1472196.888
3770,445069.474,1472198.987
3771,445485.718,1471869.48
3772,445164.357,1471907.589
3773,445451.981,1471578.782
3774,445162.971,1471653.074
3775,445417.649,1471179.006
3776,445159.804,1471071.328
3777,440520.155,1469460.645
10881,440613.596,1468914.72
10882,439672.88,1467465.548
10883,439447.56,1467430.446
10884,439706.461,1467719.883
10885,439450.405,1467939.475
10886,439707.882,1467974.397
10887,439448.779,1467648.601
10888,439480.735,1467612.062
10889,439671.459,1467211.034
